species,common_name
Eleocharis obtusa,Blunt Spikerush
Eleocharis palustris,common spikerush
Eleocharis quadrangulata,squarestem spikerush
Eleocharis robbinsii,Robbins' Spikerush
Eleusine indica,Goose Grass
Eleutherococcus sieboldianus,Five-fingered Aralia
Elodea canadensis,Canadian Waterweed
Elodea densa,Brazilian elodea
Elodea nuttallii,Nuttall's Waterweed
Elsholtzia ciliata,Crested Elsholtzia
Elymus canadensis,Canada wild rye
Elymus hystrix,bottlebrush grass
Elymus repens,Quack Grass
Elymus riparius,river wild rye
Elymus villosus,silky wild rye
Elymus virginicus,Virginia wildrye
Elymus wiegandii,Wiegand's wild rye
Encalypta procera,Extinguisher Moss
Entodon seductrix,seductive entodon moss
Epifagus virginiana,Beechdrops
Epigaea repens,trailing arbutus
Epilobium ciliatum,fringed willowherb
Epilobium coloratum,cinnamon willowherb
Epilobium hirsutum,Great Willowherb
Epilobium leptophyllum,Linear-leaf Willowherb
Epilobium palustre,marsh willowherb
Epilobium parviflorum,Hoary Willowherb
Epimedium alpinum,Alpine Barrenwort
Epipactis helleborine,Broad-leaved helleborine
Equisetum arvense,field horsetail
Equisetum fluviatile,water horsetail
Equisetum hyemale,rough horsetail
Equisetum pratense,meadow horsetail
Equisetum sylvaticum,wood horsetail
Equisetum variegatum,variegated horsetail
Eragrostis hypnoides,Teal Lovegrass
Eragrostis pectinacea,purple love grass
Eragrostis spectabilis,Purple Lovegrass
Eranthis hyemalis,Winter Aconite
Erechtites hieraciifolius,American burnweed
Erigeron annuus,annual fleabane
Erigeron canadensis,horseweed
Erigeron philadelphicus,Philadelphia fleabane
Erigeron pulchellus,robin's-plantain
Erigeron strigosus,daisy fleabane
Eriocaulon aquaticum,Common Pipewort
Eriocaulon parkeri,Parker's pipewort
Eriophorum tenellum,rough cottongrass
Eriophorum virginicum,tawny cottongrass
Erodium cicutarium,Redstem Stork's-bill
Eruca vesicaria,rocketsalad
Erucastrum gallicum,Hairy Rocket
Eryngium yuccifolium,rattlesnake master
Erysimum capitatum,Western Wallflower
Erysimum cheiranthoides,wormseed wallflower
Erysimum repandum,Spreading Wallflower
Erythronium albidum,white fawnlily
Erythronium americanum,yellow trout lily
Eschscholzia californica,California poppy
Eubotrys racemosus,fetterbush
Euonymus alatus,winged euonymus
Euonymus atropurpureus,wahoo
Euonymus europaeus,Spindle
Euonymus fortunei,fortune's spindle
Euonymus hamiltonianus,Hamilton's spindle
Euonymus japonicus,Japanese spindle tree
Eupatorium altissimum,tall boneset
Eupatorium capillifolium,dogfennel
Eupatorium hyssopifolium,hyssopleaf thoroughwort
Eupatorium perfoliatum,common boneset
Eupatorium pilosum,rough boneset
Eupatorium pubescens,roundleaf thoroughwort
Eupatorium serotinum,late boneset
Eupatorium sessilifolium,upland boneset
Eupatorium subvenosum,veined thoroughwort
Euphorbia cyparissias,cypress spurge
Euphorbia dulcis,Sweet Spurge
Euphorbia epithymoides,Cushion Spurge
Euphorbia esula,leafy spurge
Euphorbia graminea,Grassleaf Spurge
Euphorbia hypericifolia,graceful spurge
Euphorbia lathyris,caper spurge
Euphorbia maculata,Spotted spurge
Euphorbia marginata,snow-on-the-mountain
Euphorbia myrsinites,Donkey Tail
Euphorbia nutans,nodding spurge
Euphorbia oblongata,eggleaf spurge
Euphorbia ophthalmica,Florida Hammock Sandmat
Euphorbia peplus,Petty Spurge
Euphorbia polygonifolia,seaside sandmat
Euphorbia prostrata,prostrate sandmat
Euphorbia virgata,slender leafy spurge
Euphrasia nemorosa,Common Eyebright
Euphrosyne xanthiifolia,Marshelder
Eurybia divaricata,White Wood Aster
Eurybia macrophylla,large-leaved aster
Eurybia schreberi,Schreber's Wood Aster
Eurybia spectabilis,purple wood aster
Euthamia caroliniana,slender goldentop
Euthamia graminifolia,flat-topped goldenrod
Eutrochium dubium,coastal plain Joe-Pye weed
Eutrochium fistulosum,Hollow Joe-Pye Weed
Eutrochium maculatum,spotted Joe-Pye weed
Eutrochium purpureum,sweet Joe-Pye-weed
Fagopyrum esculentum,Common Buckwheat
Fagus grandifolia,American beech
Fagus sylvatica,European beech
Fallopia convolvulus,Black-bindweed
Fallopia cristata,Climbing Buckwheat
Fallopia dumetorum,Copse-bindweed
Fallopia scandens,climbing false buckwheat
Fatoua villosa,hairy crabweed
Festuca myuros,rattail sixweeks grass
Festuca octoflora,sixweeks grass
Festuca subverticillata,Nodding Fescue
Ficaria verna,lesser celandine
Filipendula rubra,queen of the prairie
Filipendula ulmaria,Meadowsweet
Filipendula vulgaris,Dropwort
Fimbristylis autumnalis,Slender Fimbry
Fissidens dubius,Rock Pocket-moss
Fissidens fontanus,Water Pocket Moss
Fissidens taxifolius,Common Pocket-moss
Floerkea proserpinacoides,false mermaid
Foeniculum vulgare,fennel
Fontinalis antipyretica,Willow Moss
Fontinalis dalecarlica,Cupped Water Moss
Fontinalis hypnoides,
Fontinalis novae-angliae,New England Willowmoss
Forsstroemia trichomitria,fan moss
Forsythia suspensa,Golden-bell
Forsythia viridissima,Greenstem Forsythia
Fragaria vesca,woodland strawberry
Fragaria virginiana,Virginia strawberry
Frangula alnus,alder buckthorn
Fraxinus americana,white ash
Fraxinus nigra,black ash
Fraxinus pennsylvanica,green ash
Fritillaria meleagris,snake's-head fritillary
Froelichia gracilis,Slender Snakecotton
Frullania asagrayana,Asa Gray's Scalewort
Frullania eboracensis,New York Scalewort
Fumaria officinalis,Common Fumitory
Funaria hygrometrica,Bonfire moss
Gaillardia pulchella,firewheel
Galanthus elwesii,greater snowdrop
Galanthus nivalis,common snowdrop
Galanthus woronowii,Green Snowdrop
Galax urceolata,galax
Galearis spectabilis,showy orchis
Galeopsis bifida,Bifid Hemp-nettle
Galeopsis tetrahit,Common hemp-nettle
Galinsoga parviflora,Gallant Soldier
Galinsoga quadriradiata,shaggy soldier
Galium album,white bedstraw
Galium aparine,catchweed bedstraw
Galium asprellum,rough bedstraw
Galium boreale,Northern Bedstraw
Galium circaezans,licorice bedstraw
Galium lanceolatum,Torrey's Wild Licorice
Galium mollugo,Hedge Bedstraw
Galium obtusum,Bluntleaf Bedstraw
Galium odoratum,Sweet Woodruff
Galium palustre,Common Marsh-bedstraw
Galium pilosum,Hairy bedstraw
Galium tinctorium,Stiff Marsh Bedstraw
Galium trifidum,three-petal bedstraw
Galium triflorum,fragrant bedstraw
Galium verum,Lady's Bedstraw
Gamochaeta purpurea,Purple Cudweed
Gaultheria hispidula,creeping snowberry
Gaultheria procumbens,Eastern Teaberry
Gaylussacia baccata,black huckleberry
Gaylussacia bigeloviana,northern dwarf huckleberry
Gaylussacia dumosa,dwarf huckleberry
Gaylussacia frondosa,dangleberry
Gentiana andrewsii,closed bottle gentian
Gentiana clausa,bottle gentian
Gentianopsis crinita,greater fringed gentian
Geranium carolinianum,Carolina crane's-bill
Geranium dissectum,Cut-leaved crane's-bill
Geranium macrorrhizum,Rock Crane's-bill
Geranium maculatum,wild geranium
Geranium molle,Dove's-foot crane's-bill
Geranium phaeum,Dusky Crane's-bill
Geranium pratense,Meadow Crane's-bill
Geranium robertianum,Herb Robert
Geranium sanguineum,Bloody Crane's-bill
Geranium sylvaticum,wood crane's-bill
Geranium thunbergii,Thunberg's Geranium
Geum canadense,white avens
Geum laciniatum,rough avens
Geum rivale,Water Avens
Geum triflorum,prairie smoke
Geum urbanum,Wood Avens
Geum vernum,Spring Avens
Geum virginianum,cream-colored avens
Gilia tricolor,bird's-eye gilia
Gillenia stipulata,American ipecac
Gillenia trifoliata,Bowman's root
Ginkgo biloba,ginkgo
Glaucium flavum,Yellow Horned Poppy
Glechoma hederacea,ground-ivy
Gleditsia triacanthos,honey locust
Glossostigma cleistanthum,Mudmat
Glyceria canadensis,rattlesnake mannagrass
Glyceria melicaria,Slender Mannagrass
Glyceria obtusa,Blunt Mannagrass
Glyceria septentrionalis,Floating Mannagrass
Glyceria striata,Fowl Mannagrass
Gnaphalium uliginosum,marsh cudweed
Goodyera pubescens,downy rattlesnake plantain
Goodyera tesselata,checkered rattlesnake plantain
Gratiola aurea,golden hedge-hyssop
Gratiola neglecta,clammy hedge-hyssop
Greeneochloa coarctata,Nuttall's Reedgrass
Grimmia laevigata,Grimmia Dry Rock Moss
Grimmia pilifera,Grimmia Dry Rock Moss
Gymnocarpium dryopteris,northern oak fern
Gymnocladus dioicus,Kentucky coffeetree
Gypsophila elegans,showy baby's-breath
Gypsophila vaccaria,Cowherb
Hackelia virginiana,virginia stickseed
Hakonechloa macra,Japanese forest grass
Halesia carolina,Carolina Silverbell
Halesia tetraptera,mountain silverbell
Hamamelis vernalis,ozark witch-hazel
Hamamelis virginiana,american witch-hazel
Hasteola suaveolens,False Indian Plantain
Hedeoma pulegioides,American pennyroyal
Hedera helix,common ivy
Hedera hibernica,Atlantic Ivy
Hedwigia ciliata,Ciliate Hoarmoss
Helenium autumnale,common sneezeweed
Helenium flexuosum,Southern Sneezeweed
Helianthus annuus,Common Sunflower
Helianthus decapetalus,pale sunflower
Helianthus divaricatus,woodland sunflower
Helianthus giganteus,giant sunflower
Helianthus maximiliani,Maximilian sunflower
Helianthus mollis,ashy sunflower
Helianthus tuberosus,Jerusalem artichoke
Heliopsis helianthoides,false sunflower
Helleborus foetidus,Stinking hellebore
Helleborus orientalis,Lenten-rose
Hemerocallis fulva,orange day-lily
Hepatica acutiloba,sharp-lobed hepatica
Hepatica americana,round-lobed hepatica
Heracleum maximum,common cowparsnip
Herniaria glabra,Smooth Rupturewort
Hesperis matronalis,dame's rocket
Heteranthera dubia,water star-grass
Heteranthera reniformis,Kidneyleaf mud plantain
Heuchera americana,American alumroot
Hexasepalum teres,rough buttonweed
Hibiscus coccineus,Scarlet Rosemallow
Hibiscus moscheutos,swamp rose mallow
Hibiscus syriacus,common hibiscus
Hibiscus trionum,flower-of-an-hour
Hieracium gronovii,Beaked Hawkweed
Hieracium lachenalii,common hawkweed
Hieracium paniculatum,Panicled Hawkweed
Hieracium sabaudum,New England Hawkweed
Hieracium scabrum,rough hawkweed
Hieracium umbellatum,Canada hawkweed
Hieracium venosum,rattlesnakeweed
Holcus lanatus,Yorkshire fog
Homalosorus pycnocarpos,narrow-leaved glade fern
Honckenya peploides,Sea Sandwort
Hordeum jubatum,Foxtail Barley
Hosta lancifolia,Narrow-leaved Plantain-lily
Hosta ventricosa,Blue Plantain-lily
Hottonia inflata,Featherfoil
Houstonia caerulea,azure bluet
Houstonia longifolia,long-leaved bluets
Houstonia purpurea,summer bluet
Houstonia pusilla,tiny bluet
Houttuynia cordata,Chameleon Plant
Hudsonia ericoides,pine barren goldenheather
Hudsonia tomentosa,woolly beachheather
Humulus lupulus,common hops
Humulus scandens,Japanese Hops
Huperzia lucidula,shining firmoss
Hyacinthoides hispanica,Spanish Bluebell
Hyacinthoides non-scripta,bluebell
Hyacinthus orientalis,Hyacinth
Hydrangea arborescens,wild hydrangea
Hydrangea petiolaris,Climbing Hydrangea
Hydrangea quercifolia,oakleaf hydrangea
Hydrastis canadensis,Goldenseal
Hydrilla verticillata,Hydrilla
Hydrocotyle americana,American Water-pennywort
Hydrocotyle batrachium,
Hydrocotyle ranunculoides,floating marsh pennywort
Hydrocotyle sibthorpioides,Sibthorp's Pennywort
Hydrocotyle umbellata,manyflower marshpennywort
Hydrophyllum virginianum,Virginia waterleaf
Hylocomiadelphus triquetrus,rough goose neck moss
Hylocomium splendens,stairstep moss
Hylodesmum glutinosum,pointed-leaved tick-trefoil
Hylodesmum nudiflorum,naked-flowered tick-trefoil
Hylotelephium telephium,Orpine
Hymenoloma crispulum,mountain pincushion
Hypericum ascyron,Great St. John's Wort
Hypericum boreale,Northern St. John's-wort
Hypericum calycinum,Rose-of-sharon
Hypericum canadense,Canada St. John's wort
Hypericum ellipticum,pale St. John's-wort
Hypericum gentianoides,pineweed
Hypericum majus,large canadian st. john's-wort
Hypericum mutilum,Dwarf St. John's Wort
Hypericum perforatum,Common St. John's Wort
Hypericum prolificum,shrubby St. John's-wort
Hypericum punctatum,spotted St. John's wort
Hypericum virginicum,Virginia marsh St. John's-wort
Hypnum cupressiforme,Cypress-leaved Plait-moss
Hypochaeris radicata,Common Cat's-ear
Hypoxis hirsuta,yellow star grass
Ilex aquifolium,European holly
Ilex crenata,Japanese holly
Ilex glabra,gallberry
Ilex laevigata,Smooth Winterberry
Ilex montana,Mountain Winterberry
Ilex mucronata,Mountain holly
Ilex opaca,American holly
Ilex verticillata,winterberry holly
Impatiens balsamina,Garden balsam
Impatiens capensis,common jewelweed
Impatiens glandulifera,Himalayan balsam
Impatiens pallida,pale jewelweed
Impatiens walleriana,Busy Lizzie
Inula helenium,Elecampane
Ionactis linariifolia,Flax-leaved Aster
Ipheion uniflorum,Spring starflower
Ipomoea alba,Moonflower
Ipomoea hederacea,ivy-leaved morning-glory
Ipomoea purpurea,common morning-glory
Ipomoea quamoclit,Cypress Vine
Ipomoea tricolor,Garden Morning Glory
Iris cristata,dwarf crested iris
Iris domestica,Blackberry Lily
Iris pallida,Sweet Iris
Iris prismatica,Slender Blue Flag
Iris pseudacorus,Yellow Iris
Iris reticulata,Netted Iris
Iris sanguinea,Japanese Iris
Iris versicolor,northern blue flag
Iris virginica,southern blue flag
Isoetes echinospora,spiny-spored quillwort
Isoetes engelmannii,Engelmann's quillwort
Isotria medeoloides,Small Whorled Pogonia
Isotria verticillata,Large Whorled Pogonia
Itea virginica,Virginia sweetspire
Iva frutescens,marsh elder
Jacobaea maritima,Dusty miller
Jasione montana,Sheep's-bit
Jeffersonia diphylla,twinleaf
Jochenia pallescens,lesser plait moss
Jubula pennsylvanica,
Juglans ailantifolia,Japanese walnut
Juglans cinerea,Butternut
Juglans nigra,eastern black walnut
Juglans regia,Persian walnut
Juncus acuminatus,tapered rush
Juncus anthelatus,greater poverty rush
Juncus canadensis,Canada Rush
Juncus compressus,Flattened Rush
Juncus dichotomus,Forked Rush
Juncus effusus,Soft Rush
Juncus gerardi,Saltmeadow Rush
Juncus greenei,Greene's Rush
Juncus marginatus,Grass-leaved Rush
Juncus militaris,Bayonet Rush
Juncus nodosus,Knotted Rush
Juncus pelocarpus,Brown-fruit Rush
Juncus pylaei,Pylaie's Soft Rush
Juncus secundus,Secund Rush
Juncus tenuis,Slender Path Rush
Juniperus communis,common juniper
Juniperus horizontalis,creeping juniper
Juniperus virginiana,eastern redcedar
Kalmia angustifolia,sheep laurel
Kalmia latifolia,mountain laurel
Kalmia polifolia,Swamp Laurel
Kalopanax septemlobus,Castor-Aralia
Kellochloa verrucosa,warty panic grass
Kerria japonica,Japanese Kerria
Kickxia elatine,Sharp-leaved Fluellen
Kirengeshoma palmata,Yellow waxbells
Knautia arvensis,Field Scabious
Koeleria macrantha,Prairie Junegrass
Koelreuteria paniculata,golden rain tree
Kolkwitzia amabilis,Beauty Bush
Krigia biflora,Two-flower Dwarf-dandelion
Krigia virginica,Virginia dwarfdandelion
Kummerowia stipulacea,Korean bushclover
Kummerowia striata,Japanese Clover
Lablab purpureus,Hyacinth bean
Lactuca biennis,tall blue lettuce
Lactuca canadensis,Canada wild lettuce
Lactuca hirsuta,hairy lettuce
Lactuca serriola,prickly lettuce
Lagenaria siceraria,Calabash
Lamium amplexicaule,henbit deadnettle
Lamium galeobdolon,yellow archangel
Lamium hybridum,cutleaf deadnettle
Lamium maculatum,Spotted deadnettle
Lamium purpureum,red deadnettle
Lamprocapnos spectabilis,Asian Bleeding-heart
Laportea canadensis,wood nettle
Lapsana communis,nipplewort
Larix decidua,European larch
Larix laricina,tamarack
Lathyrus japonicus,seaside pea
Lathyrus latifolius,broad-leaved sweet pea
Lathyrus sphaericus,Grass Pea
Lathyrus sylvestris,Narrow-leaved Everlasting-pea
Lathyrus vernus,spring vetch
Lechea intermedia,narrowleaf pinweed
Lechea maritima,Beach Pinweed
Lechea mucronata,Hairy Pinweed
Lechea pulchella,Leggett's Pinweed
Lechea tenuifolia,slender pinweed
Leersia oryzoides,rice cutgrass
Leersia virginica,white grass
Lemna minor,Common Duckweed
Lemna trisulca,Ivy-leaved Duckweed
Leonotis leonurus,Common Lionspaw
Leonurus cardiaca,common motherwort
Lepidium campestre,field peppergrass
Lepidium densiflorum,Common Peppergrass
Lepidium didymum,Lesser swine-cress
Lepidium heterophyllum,Smith's Cress
Lepidium latifolium,broadleaved pepperweed
Lepidium ruderale,Narrow-leaved Pepperwort
Lepidium virginicum,Virginia pepperweed
Lepidozia reptans,Creeping Fingerwort
Lespedeza bicolor,shrub lespedeza
Lespedeza capitata,round-headed bush clover
Lespedeza cuneata,Chinese bushclover
Lespedeza frutescens,violet bush clover
Lespedeza hirta,hairy lespedeza
Lespedeza procumbens,trailing lespedeza
Lespedeza repens,creeping lespedeza
Lespedeza stuevei,tall bush-clover
Lespedeza violacea,violet bush clover
Lespedeza virginica,slender bush clover
Leucanthemum maximum,max chrysanthemum
Leucanthemum vulgare,oxeye daisy
Leucobryum albidum,white moss
Leucobryum glaucum,Pincushion Moss
Leucojum aestivum,Summer snowflake
Leucojum vernum,Spring Snowflake
Leucothoe axillaris,Swamp Dog-laurel
Leucothoe fontanesiana,mountain doghobble
Levisticum officinale,Lovage
Liatris novae-angliae,New England blazing star
Liatris pycnostachya,prairie blazing star
Liatris scariosa,devil's bite
Liatris spicata,dense blazing star
Ligularia dentata,Leopardplant
Ligustrum obtusifolium,border privet
Ligustrum ovalifolium,garden privet
Ligustrum sinense,Chinese privet
Ligustrum vulgare,Common Privet
Lilium canadense,Canada lily
Lilium lancifolium,tiger lily
Lilium martagon,Martagon Lily
Lilium philadelphicum,Wood Lily
Lilium superbum,Turk's-cap lily
Limnanthes douglasii,Douglas' meadowfoam
Limonium carolinianum,Carolina Sea Lavender
Limonium sinuatum,Blue statice
Limosella australis,delta mudwort
Linaria canadensis,Canada toadflax
Linaria maroccana,Annual Toadflax
Linaria purpurea,Purple Toadflax
Linaria vulgaris,common toadflax
Lindera benzoin,northern spicebush
Lindernia anagallidea,Slender False Pimpernel
Lindernia dubia,Yellowseed False Pimpernel
Lindernia grandiflora,Savannah False Pimpernel
Linum grandiflorum,Scarlet Flax
Linum perenne,perennial flax
Linum striatum,Ridged Yellow Flax
Linum usitatissimum,common flax
Lipandra polysperma,Many-seeded Goosefoot
Liparis liliifolia,large twayblade
Liquidambar styraciflua,American sweetgum
Liriodendron tulipifera,American tuliptree
Liriope muscari,Liriope
Lithospermum virginianum,Virginia marbleseed
Lobelia cardinalis,cardinal flower
Lobelia dortmanna,Water Lobelia
Lobelia erinus,Garden Lobelia
Lobelia inflata,Indian tobacco
Lobelia kalmii,Kalm's Lobelia
Lobelia siphilitica,great blue lobelia
Lobelia spicata,pale-spiked lobelia
Lobularia maritima,sweet alyssum
Lolium arundinaceum,tall fescue
Lolium multiflorum,Italian Ryegrass
Lolium perenne,Perennial Ryegrass
Lonicera canadensis,American fly-honeysuckle
Lonicera dioica,Glaucous Honeysuckle
Lonicera fragrantissima,Winter honeysuckle
Lonicera japonica,Japanese honeysuckle
Lonicera maackii,Amur honeysuckle
Lonicera morrowii,Morrow's honeysuckle
Lonicera periclymenum,Common Honeysuckle
Lonicera sempervirens,coral honeysuckle
Lonicera tatarica,Tatarian honeysuckle
Lophocolea bidentata,Bifid Crestwort
Lophocolea heterophylla,Various-leaved Crestwort
Lophocolea minor,Lesser Crestwort
Lotus corniculatus,bird's-foot trefoil
Lotus pedunculatus,greater bird's-foot-trefoil
Lotus tenuis,narrow-leaf bird's-foot trefoil
Ludwigia alternifolia,Seedbox
Ludwigia palustris,Water Purslane
Ludwigia sphaerocarpa,Globefruit Primrose-willow
Lunaria annua,Annual Honesty
Lupinus perennis,Sundial Lupine
Lupinus polyphyllus,Large-leaved lupine
Luzula acuminata,hairy woodrush
Luzula multiflora,heath wood-rush
Lycium barbarum,matrimony vine
Lycopodiella appressa,appressed bog clubmoss
Lycopodiella inundata,inundated bog clubmoss
Lycopodium clavatum,stag's-horn clubmoss
Lycopus americanus,American bugleweed
Lycopus amplectens,clasping water horehound
Lycopus rubellus,taperleaf waterhorehound
Lycopus uniflorus,northern bugleweed
Lycopus virginicus,sweet bugleweed
Lycoris radiata,red spider lily
Lycoris squamigera,Surprise Lily
Lygodium palmatum,Hartford fern
Lyonia ligustrina,He-huckleberry
Lysimachia arvensis,scarlet pimpernel
Lysimachia borealis,northern starflower
Lysimachia ciliata,fringed loosestrife
Lysimachia clethroides,Gooseneck Loosestrife
Lysimachia hybrida,Lowland Loosestrife
Lysimachia japonica,miniature moneywort
Lysimachia nummularia,creeping Jenny
Lysimachia punctata,Dotted Loosestrife
Lysimachia quadrifolia,whorled loosestrife
Lysimachia terrestris,swamp candles
Lysimachia thyrsiflora,Tufted Loosestrife
Lysimachia vulgaris,Yellow Loosestrife
Lythrum salicaria,purple loosestrife
Macleaya cordata,Plume Poppy
Maclura pomifera,Osage-orange
Magnolia acuminata,Cucumber-tree
Magnolia kobus,Kobus magnolia
Magnolia macrophylla,bigleaf magnolia
Magnolia stellata,star magnolia
Magnolia tripetala,umbrella magnolia
Magnolia virginiana,sweetbay magnolia
Maianthemum canadense,Canada mayflower
Maianthemum racemosum,Solomon's plume
Maianthemum stellatum,star-flowered lily-of-the-valley
Maianthemum trifolium,three-leaved false Solomon’s seal
Malaxis brachypoda,White Adder's-mouth
Malaxis unifolia,green adder's-mouth
Malcolmia maritima,Virginia Stock
Malus angustifolia,southern crabapple
Malus baccata,Siberian crabapple
Malus domestica,apple
Malus hupehensis,Hupeh Crabapple
Malus prunifolia,Pear-leaf Crabapple
Malus sylvestris,European Wild Apple
Malus toringo,Toringo Crabapple
Malva alcea,Greater Musk-mallow
Malva moschata,musk mallow
Malva neglecta,dwarf mallow
Malva parviflora,cheeseweed mallow
Malva sylvestris,Common Mallow
Marchantia polymorpha,Common Liverwort
Marchantia quadrata,Narrow Mushroom-headed Liverwort
Marsilea quadrifolia,clover fern
Marsupella emarginata,Notched Rustwort
Matricaria chamomilla,German Chamomile
Matricaria discoidea,pineapple-weed
Matteuccia struthiopteris,ostrich fern
Mazus miquelii,Miquel's mazus
Mazus pumilus,Asian mazus
Medeola virginiana,Cucumber Root
Medicago lupulina,Black Medick
Medicago sativa,Alfalfa
Melampyrum lineare,narrowleaf cow wheat
Melilotus albus,White Sweetclover
Melilotus officinalis,Yellow Sweetclover
Melissa officinalis,lemon balm
Menispermum canadense,moonseed
Mentha aquatica,watermint
Mentha arvensis,corn mint
Mentha canadensis,Canada mint
Mentha spicata,spearmint
Menyanthes trifoliata,Bogbean
Mertensia virginica,Virginia bluebells
Metasequoia glyptostroboides,dawn redwood
Metzgeria conjugata,Rock Veilwort
Metzgeria furcata,Forked Veilwort
Micranthes pensylvanica,Swamp Saxifrage
Micranthes virginiensis,Virginia saxifrage
Microstegium vimineum,Japanese stiltgrass
Mikania scandens,climbing hempvine
Mimulus alatus,sharpwing monkeyflower
Mimulus ringens,Allegheny monkeyflower
Mirabilis jalapa,marvel of Peru
Mirabilis nyctaginea,Wild Four o'Clock
Miscanthus sinensis,Chinese silver grass
Mitchella repens,partridgeberry
Mitella diphylla,twoleaf miterwort
Mitella nuda,naked bishop's cap
Mnium hornum,Horn Calcareous Moss
Moehringia lateriflora,bluntleaf sandwort
Mollugo verticillata,green carpetweed
Monarda bradburyana,Eastern Beebalm
Monarda citriodora,lemon beebalm
Monarda didyma,Scarlet Beebalm
Monarda fistulosa,wild bergamot
Monarda punctata,spotted horsemint
Mononeuria glabra,Appalachian sandwort
Monotropa hypopitys,pinesap
Monotropa uniflora,Ghost Pipe
Morella pensylvanica,northern bayberry
Morus alba,white mulberry
Morus indica,Korean mulberry
Morus rubra,red mulberry
Muhlenbergia schreberi,nimblewill
Muhlenbergia tenuiflora,Slim-flower Muhly
Muhlenbergia uniflora,fall dropseed muhly
Mummenhoffia alliacea,garlic penny-cress
Muscari armeniacum,Garden Grape-hyacinth
Muscari azureum,Azure Grape-hyacinth
Muscari botryoides,common grape hyacinth
Muscari neglectum,Musk Hyacinth
Mycelis muralis,Wall Lettuce
Myosotis arvensis,field forget-me-not
Myosotis discolor,Changing Forget-me-not
Myosotis laxa,bay forget-me-not
Myosotis scorpioides,water forget-me-not
Myosotis stricta,blue forget-me-not
Myosotis sylvatica,Wood Forget-me-not
Myosotis verna,early forget-me-not
Myrica gale,bog myrtle
Myriophyllum heterophyllum,Broadleaf Water-milfoil
Myriophyllum humile,Low Water-milfoil
Myriophyllum sibiricum,Siberian water-milfoil
Myriophyllum spicatum,Eurasian water-milfoil
Myriophyllum verticillatum,whorled water-milfoil
Myriopteris lanosa,Hairy Lip Fern
Myrrhis odorata,sweet cicely
Nabalus albus,white rattlesnake root
Nabalus altissimus,tall rattlesnake root
Nabalus serpentaria,lion's foot rattlesnake root
Nabalus trifoliolatus,three-leaved rattlesnake root
Najas guadalupensis,southern waternymph
Najas minor,Brittle Naiad
Narcissus bulbocodium,hoop-petticoat daffodil
Narcissus poeticus,Poet's Narcissus
Narcissus pseudonarcissus,wild daffodil
Narcissus tazetta,Bunch-flowered Daffodil
Narcissus triandrus,Angel's-tears
Nasturtium microphyllum,Narrow-fruited Watercress
Nasturtium officinale,watercress
Neckera pennata,shingle moss
Neillia incisa,Laceshrub
Nemophila maculata,fivespot
Nemophila menziesii,Menzies' baby blue eyes
Nepeta cataria,Catnip
Nigella damascena,love-in-a-mist
Nipponanthemum nipponicum,Nippon daisy
Notothylas orbicularis,Round Hornwort
Nowellia curvifolia,Rustwort
Nuphar advena,spatterdock
Nuphar variegata,Variegated Yellow Pond-Lily
Nyholmiella obtusifolia,Blunt-leaved Bristle Moss
Nymphaea odorata,American white waterlily
Nymphoides cordata,little floatingheart
Nymphoides peltata,water fringe
Nyssa sylvatica,Black Tupelo
Oclemena acuminata,whorled wood aster
Oclemena nemoralis,bog aster
Odontites vulgaris,Red Odontites
Odontoschisma denudatum,Matchstick Flapwort
Oenanthe javanica,Java water-dropwort
Oenothera biennis,common evening-primrose
Oenothera laciniata,cutleaf evening primrose
Oenothera lindheimeri,clockweed
Oenothera nutans,Nodding Evening-Primose
Oenothera oakesiana,Oakes' Evening-primrose
Oenothera parviflora,northern evening-primrose
Oenothera perennis,Small Sundrops
Oenothera pilosella,meadow evening primrose
Oenothera rubricaulis,Red-stalked evening primrose
Oenothera speciosa,Pinkladies
Oldenlandia corymbosa,Old World Diamond Flower
Onoclea sensibilis,sensitive fern
Ophioglossum pusillum,northern adder's-tongue
Opuntia cespitosa,Eastern Pricklypear
Opuntia humifusa,low pricklypear
Origanum vulgare,Oregano
Ornithogalum nutans,Drooping Star-of-Bethlehem
Ornithogalum umbellatum,common star-of-Bethlehem
Orontium aquaticum,Golden Club
Orthotrichum anomalum,Anomalous Bristle-moss
Orthotrichum pusillum,
Orthotrichum stellatum,Starry Bristle Moss
Oryzopsis asperifolia,White-grained Mountain-ricegrass
Osmanthus heterophyllus,holly olive
Osmorhiza claytonii,hairy sweet cicely
Osmorhiza longistylis,aniseroot
Osmunda claytoniana,interrupted fern
Osmunda spectabilis,American Royal Fern
Osmundastrum cinnamomeum,cinnamon fern
Ostrya virginiana,American hophornbeam
Oxalis corniculata,Creeping Woodsorrel
Oxalis debilis,Largeflower pink-sorrel
Oxalis dillenii,slender yellow woodsorrel
Oxalis montana,mountain woodsorrel
Oxalis stricta,upright yellow woodsorrel
Oxalis violacea,violet woodsorrel
Oxybasis glauca,oak-leaved goosefoot
Oxydendrum arboreum,sourwood
Pachysandra procumbens,Allegheny Spurge
Pachysandra terminalis,Japanese pachysandra
Packera aurea,golden ragwort
Packera obovata,roundleaf ragwort
Packera paupercula,balsam ragwort
Paeonia lactiflora,Chinese peony
Pallavicinia lyellii,Ribbonwort
Palustricodon aparinoides,Marsh Bellflower
Panax quinquefolius,American ginseng
